OverrunPercent,CDF
-0.11367018229999999,0.08649654439000001
-0.09497424577000001,0.11072727269999999
-0.07689477557,0.1404040404
-0.05927345959,0.16753966259999997
-0.04128852915,0.1942009569
-0.02449513531,0.2215417331
-0.00610743194,0.2472210526
0.01302428256,0.275062201
0.03215599706,0.3020574163
0.05128771155,0.32936363640000005
0.07087494306,0.35652768279999997
0.09100879497999999,0.3811118706
0.11105154349999999,0.40929778990000004
0.1316409124,0.4346585472
0.1526857984,0.4601609395
0.1737306843,0.485154415
0.1947755703,0.5092431492
0.21582045619999998,0.5324045237
0.2368653422,0.5549891257
0.2579102281,0.5752892562
0.2780941869,0.597138756
0.3,0.6169073509999999
0.3210448859,0.6358503697
0.3420897719,0.6542844715
0.36313465780000004,0.6715311005
0.38417954379999997,0.6884384515
0.4052244297,0.7041017834000001
0.42626931570000004,0.7194823836
0.4473142016,0.7337886037
0.46826798420000004,0.7476828435
0.48876624970000004,0.7617777778
0.5096118469,0.775173445
0.532259014,0.7876146730000001
0.5518027962000001,0.8009186603
0.5735835173,0.8139486733
0.5936718175,0.8203691046
0.6159676233,0.8311004785
0.637037037,0.8413397129000001
0.6576158940000001,0.848708134
0.6788079469999999,0.8588690735
0.699852833,0.8664462810000001
0.7208977189,0.8737973031999999
0.7419426049000001,0.8802435842
0.7629874908,0.8866898652
0.7840323766999999,0.8926837756
0.8050772627,0.8981122227
0.8261221486,0.9035406699
0.8471670346000001,0.9084036538
0.8682119205,0.9129273596999999
0.8892568065,0.9173379730000001
0.9103016924,0.9210700303999999
0.9313465784,0.9249151805
0.9523914643000001,0.92830796
0.9734363503,0.9309090909
0.9944812362000001,0.9344149629999999
1.015526122,0.9367899087000001
1.036571008,0.9392779469
1.057615894,0.9417659852
1.07866078,0.943123097
1.099705666,0.9452718573
1.1207505519999998,0.9464027838
1.141795438,0.9479860809
1.162840324,0.9494562852999999
1.18388521,0.9495693780000001
1.204930096,0.9508133970999999
1.225974982,0.9520574163000001
1.247019868,0.9520574163000001
1.268064753,0.9520574163000001
1.289109639,0.9520574163000001
1.3101545250000002,0.9520574163000001
1.331199411,0.9520574163000001
1.352244297,0.9520574163000001
1.373289183,0.9520574163000001
1.3924208980000001,0.9517809676
